Data_Date,Formulary_ID,Formulary_Name,Payer_Name,Channel,Lives,NDC,Product_Name,Formulary_Status,Restriction,Tier,Effective_Date,As_Of_Date
2026-07-01,FRM88000,Meridian Choice PPO Formulary,Meridian Health,Commercial,951213,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88001,Cascade Select HMO Formulary,Cascade Care,Commercial,990850,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88002,Granite MA Complete Formulary,Granite State Health,Medicare Advantage,2943208,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88003,Harborview Preferred PPO Formulary,Harborview Health Plan,Commercial,420657,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88004,Summit Advantage HMO Formulary,Summit Wellness,Medicare Advantage,2330426,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88005,Granite Select PPO Formulary,Granite Wellness,Commercial,991395,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88006,Pinecrest Choice HMO Formulary,Pinecrest Benefit,Commercial,2825918,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88007,Pinecrest Advantage Formulary,Pinecrest Alliance,Commercial,2699353,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88008,Foundry Select PPO Formulary,Foundry Mutual,Commercial,899926,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88009,Beacon EPO Formulary,Beacon Insurance,Commercial,3139710,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88010,Lakeside HMO Formulary,Lakeside Alliance,Commercial,474901,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-10-01,2026-07-01
