Data_Date,Payer_ID,Payer_Name,Plan_ID,Plan_Name,Channel,Lives,HCPCS_Code,Product_Name,Medical_Policy_Number,Policy_Effective_Date,Coverage_Status,PA_Required,Step_Therapy_Required,Site_of_Care_Restriction,Quantity_Limit,Bulletin_URL,As_Of_Date
2026-08-01,PYR10000,Meridian Health,PLN52000,Meridian Choice PPO,Commercial,951213,J9345,Onvantra,MP-ONC-91000,2026-08-01,Covered,Y,Y,Physician Office,Y,https://policies.example/meridian-choice-ppo/mp-onc-91000,2026-08-01
2026-08-01,PYR10001,Cascade Care,PLN52001,Cascade Select HMO,Commercial,990850,J9345,Onvantra,MP-ONC-91001,2026-08-01,Covered,Y,N,Physician Office; Home Infusion,N,https://policies.example/cascade-select-hmo/mp-onc-91001,2026-08-01
2026-08-01,PYR10002,Granite State Health,PLN52002,Granite MA Complete,Medicare Advantage,2943208,J9345,Onvantra,MP-ONC-91002,2026-08-01,Not Covered,N,N,Outpatient Hospital; Physician Office; Home Infusion,N,https://policies.example/granite-ma-complete/mp-onc-91002,2026-08-01
2026-08-01,PYR10003,Harborview Health Plan,PLN52003,Harborview Preferred PPO,Commercial,420657,J9345,Onvantra,MP-ONC-91003,2026-08-01,Covered,Y,N,Physician Office,N,https://policies.example/harborview-preferred-ppo/mp-onc-91003,2026-08-01
2026-08-01,PYR10004,Summit Wellness,PLN52004,Summit Advantage HMO,Medicare Advantage,2330426,J9345,Onvantra,MP-ONC-91004,2026-08-01,Covered,Y,N,Physician Office; Outpatient Hospital,Y,https://policies.example/summit-advantage-hmo/mp-onc-91004,2026-08-01
2026-08-01,PYR10005,Granite Wellness,PLN52005,Granite Select PPO,Commercial,991395,J9345,Onvantra,MP-ONC-1005,2026-01-15,Covered,Y,Y,Outpatient Hospital; Physician Office; Home Infusion,N,https://policies.example/granite-select-ppo/mp-onc-1005,2026-08-01
2026-08-01,PYR10006,Pinecrest Benefit,PLN52006,Pinecrest Choice HMO,Commercial,2825918,J9345,Onvantra,MP-ONC-1006,2025-11-01,Covered,Y,N,Physician Office; Outpatient Hospital,Y,https://policies.example/pinecrest-choice-hmo/mp-onc-1006,2026-08-01
2026-08-01,PYR10007,Pinecrest Alliance,PLN52007,Pinecrest Advantage,Commercial,2699353,J9345,Onvantra,MP-ONC-1007,2025-10-01,Covered,Y,N,Physician Office,N,https://policies.example/pinecrest-advantage/mp-onc-1007,2026-08-01
2026-08-01,PYR10008,Foundry Mutual,PLN52008,Foundry Select PPO,Commercial,899926,J9345,Onvantra,MP-ONC-1008,2026-03-01,Covered,Y,N,Physician Office; Home Infusion,N,https://policies.example/foundry-select-ppo/mp-onc-1008,2026-08-01
2026-08-01,PYR10009,Beacon Insurance,PLN52009,Beacon EPO,Commercial,3139710,J9345,Onvantra,MP-ONC-1009,2025-11-01,Covered,Y,Y,Physician Office; Home Infusion,N,https://policies.example/beacon-epo/mp-onc-1009,2026-08-01
2026-08-01,PYR10010,Lakeside Alliance,PLN52010,Lakeside HMO,Commercial,474901,J9345,Onvantra,MP-ONC-1010,2025-10-01,Covered,Y,N,Physician Office; Home Infusion,Y,https://policies.example/lakeside-hmo/mp-onc-1010,2026-08-01
2026-08-01,PYR10011,Keystone Mutual,PLN52011,Keystone Complete,Managed Medicaid,1069507,J9345,Onvantra,MP-ONC-1011,2026-01-15,Covered,Y,N,Outpatient Hospital; Physician Office; Home Infusion,Y,https://policies.example/keystone-complete/mp-onc-1011,2026-08-01
2026-08-01,PYR10012,Northgate Insurance,PLN52012,Northgate Advantage,Commercial,1918055,J9345,Onvantra,MP-ONC-1012,2025-10-01,Covered,Y,N,Physician Office; Outpatient Hospital,Y,https://policies.example/northgate-advantage/mp-onc-1012,2026-08-01
2026-08-01,PYR10013,Everest Wellness,PLN52013,Everest EPO,Commercial,692585,J9345,Onvantra,MP-ONC-1013,2025-10-01,Covered,Y,N,Physician Office; Home Infusion,N,https://policies.example/everest-epo/mp-onc-1013,2026-08-01
2026-08-01,PYR10014,Juniper Insurance,PLN52014,Juniper POS,Commercial,1025288,J9345,Onvantra,MP-ONC-1014,2026-05-01,Covered,Y,N,Physician Office; Home Infusion,N,https://policies.example/juniper-pos/mp-onc-1014,2026-08-01
2026-08-01,PYR10015,Lakeside Health Plan,PLN52015,Lakeside Complete,Managed Medicaid,707592,J9345,Onvantra,MP-ONC-1015,2025-11-01,Covered,Y,Y,Physician Office; Outpatient Hospital,Y,https://policies.example/lakeside-complete/mp-onc-1015,2026-08-01
